Термин;Определение
Качественные идентификационные характеристики термического анализа;— Характеристики ТА-кривых, которые дополняют информацию о процессе разложения. п. 3.15 ГОСТ Р 53293-2009 [76]
Качество воздуха;— Состав воздуха в помещении, при котором при длительном воздействии на человека обеспечивается оптимальное или допустимое состояние организма человека. п. 3.15 СП 60.13330.2012[16]
Кислородный индекс;— Минимальное содержание кислорода в кислородно-азотной смеси, при котором возможно свечеобразное горение материала в условиях специальных испытаний. п. 3.16 ГОСТ 12.1.044-2018 [79]
Кладовая;— Склад в жилом или общественном здании без постоянного пребывания людей. п. 3.19 СП 60.13330.2012[16]
Кладовая;— Небольшое помещение для хранения различных предметов при отсутствии в нем постоянных рабочих мест. п. 3.4 СП 364.1311500.2018 [29]
Кладовая;— Складское помещение в жилом или общественном здании без постоянного пребывания людей. п. 3.19 СП 4.13130.2013[6]
Клапан дымовой;— Клапан противопожарный нормально закрытый, имеющий предельное состояние по огнестойкости, характеризуемое только потерей плотности, и подлежащий установке непосредственно в проемах дымовых вытяжных шахт в защищаемых коридорах. п. 3.9 СП 7.13130.2013[9]
Клапан дымовой;— Клапан противопожарный нормально закрытый, имеющий предельное состояние по огнестойкости, характеризуемое только потерей плотности, и подлежащий установке непосредственно в проемах дымовых вытяжных шахт в защищаемых коридорах. п. 3.2 ГОСТ Р 53301-2013 [65]
Клапан противопожарный ;— Автоматически и дистанционно управляемое устройство для перекрытия вентиляционных каналов или проемов в ограждающих строительных конструкциях зданий, имеющее предельные состояния по огнестойкости, характеризуемые потерей плотности и потерей теплоизолирующей способности: - нормально открытый (закрываемый при пожаре). - нормально закрытый (открываемый при пожаре). - двойного действия (закрываемый при пожаре и открываемый после пожара). п. 3.8 СП 7.13130.2013[9]
Клапан противопожарный;"— Автоматически и дистанционно управляемое устройство перекрытия вентиляционных каналов или проемов ограждающих строительных конструкций зданий, имеющее предельные состояния по огнестойкости, характеризуемые потерей плотности и теплоизолирующей способности: - нормально открытый (закрываемый при пожаре); - нормально закрытый (открываемый при пожаре); - двойного действия (закрываемый при пожаре и открываемый после него). п. 3.1 ГОСТ Р 53301-2013 [65]"
Класс конструктивной пожарной опасности зданий, сооружений пожарных отсеков;— Классификационная характеристика зданий, сооружений и пожарных отсеков, определяемая степенью участия строительных конструкций в развитии пожара и образовании опасных факторов пожара. ст. 2 п. 11 ФЗ-123[1]
Класс пожарной опасности конструкции;— Классификационная характеристика пожарной опасности конструкции, определяемая по результатам стандартных испытаний. п. 3.2 ГОСТ 30403-2012 [61]
Класс функциональной пожарной опасности зданий, сооружений и пожарных отсеков;— Классификационная характеристика зданий, сооружений и пожарных отсеков, определяемая назначением и особенностями эксплуатации указанных зданий, сооружений и пожарных отсеков, в том числе особенностями осуществления в указанных зданиях, сооружениях и пожарных отсеках технологических процессов производства. ст. 2 п. 12 ФЗ-123[1]
Когенерационные установки;— Газотурбинные или газопоршневые установки для выработки электрической и тепловой энергии. п. 3.16 СП 60.13330.2012[16]
Коллектор;— Участок воздуховода, к которому присоединяются воздуховоды из двух или большего числа этажей. п. 3.17 СП 60.13330.2012[16]
Колокольня;— Отдельно стоящее или пристроенное (надстроенное) к культовому зданию сооружение в виде многоярусной башни, предназначенное для подвешивания колоколов. п. 3.14 СП 258.1311500.2016 [27]
Комбинированный пожарный извещатель;— Пожарный извещатель, реагирующий на два или более фактора пожара. п. 3.37 СП 5.13130.2009[7]
Комбинированный способ;— Сочетание различных способов огнезащитной обработки. п. 3.8 ГОСТ Р 53292-2009 [75]
Комбинированный способ огнезащиты;— Сочетания различных способов огнезащитной обработки. п. 3.7 ГОСТ Р 53295-2009 [77]
Компенсатор;— Устройство с фиксированным отверстием, предназначенное для сведения к минимуму вероятности ложных срабатываний сигнального клапана, вызываемых утечками в питающем и/или распределительном трубопроводах. п. 3.1.18 ГОСТ Р 51052-2002 [36]
Комплекс культовых зданий;— Совокупность зданий и сооружений, расположенных на прилегающей территории культового здания, либо встроенных в него, функционально связанных с культовым зданием. п. 3.3 СП 258.1311500.2016 [27]
Кондиционирование воздуха;— Автоматическое поддержание в закрытых помещениях всех или отдельных параметров воздуха (температуры, относительной влажности, чистоты, скорости движения и качества) с целью обеспечения, как правило, оптимальных метеорологических условий, наиболее благоприятных для самочувствия людей, ведения технологического процесса, обеспечения сохранности ценностей. п. 3.18 СП 60.13330.2012[16]
Конструктивная огнезащита;— Способ огнезащиты строительных конструкций, основанный на создании на обогреваемой поверхности конструкции теплоизоляционного слоя средства огнезащиты. К конструктивной огнезащите относятся толстослойные напыляемые составы, огнезащитные обмазки, штукатурки, облицовка плитными, листовыми и другими огнезащитными материалами, в том числе на каркасе, с воздушными прослойками, а также комбинации данных материалов, в том числе с тонкослойными вспучивающимися покрытиями. Способ нанесения (крепления) огнезащиты должен соответствовать способу, описанному в протоколе испытаний на огнестойкость и в проекте огнезащиты. п. 3.2 СП 2.13130.2012[4]
Конструктивная огнезащита;— Способ огнезащиты строительных конструкций, основанный на создании на обогреваемой поверхности конструкции теплоизоляционного слоя средства огнезащиты. К конструктивной огнезащите относятся толстослойные напыляемые составы, штукатурки, облицовка плитными, листовыми и другими огнезащитными материалами, в том числе на каркасе, с воздушными прослойками, а также комбинация данных материалов, в том числе с тонкослойными вспучивающимися покрытиями. Способ нанесения (крепления) огнезащиты должен соответствовать способу, описанному в протоколе испытаний на огнестойкость и в проекте огнезащиты. п. 3.6 ГОСТ Р 53295-2009 [77]
Конструкция ограждения шахты;— Конструкция строительная, ограждающая шахту со всех сторон. п. 3.2 ГОСТ Р 55896-2013 [74]
Конструкция стены;— Наружная стена здания с выполненной на ее внешней стороне защитно-декоративной системой. п. 3.1 ГОСТ 31251-2008 [62]
Контейнер хранения жидкого моторного топлива;— Технологическая система, предназначенная для приема, хранения и выдачи жидкого моторного топлива, смонтированная на единой раме на заводе-изготовителе как единое изделие и устанавливаемая надземно. п. 3.17 СП 156.13130.2014[21]
Контрольная зона образца;— Часть образца, расположенная в тепловой камере. п. 3.3 ГОСТ 30403-2012 [61]
Контурное управление;— Управление РП, при котором движение его рабочего органа (насадка, пеногенератора) происходит по заданной траектории. п. 3.18 ГОСТ Р 53326-2009 [48]
Концентрационный предел диффузионного горения газовых смесей в воздухе;— Предельная концентрация горючего газа в смеси с разбавителем, при которой данная газовая смесь при истечении в атмосферу неспособна к диффузионному горению. п. 3.17 ГОСТ 12.1.044-2018 [79]
Концентрация рабочего раствора пенообразователя;— Содержание пенообразователя в водном растворе для получения пены, выраженное в процентах. п. 3.7 ГОСТ Р 53280.1-2010 [53]
Концентрация рабочего раствора пенообразователя;— Содержание пенообразователя в водном растворе для получения пены. п. 3.7 ГОСТ Р 53280.2-2010 [54]
Корпус дымового люка (каркас и рама);— Неподвижная составная часть конструкции, снабженная посадочными поверхностями и элементами подвески заслонки, установочными и крепежными узлами к покрытию или ограждению светового или светоаэрационного фонаря здания (сооружения). п. 3.7 ГОСТ Р 53301-2013 [65]
Корпус клапана;— Неподвижный элемент конструкции клапана, устанавливаемый в монтажном проеме ограждающей конструкции или на ответвлении воздуховода. п. 3.3 ГОСТ Р 53301-2013 [65]
Корпус огнетушителя;— Емкость, предназначенная для хранения огнетушащего вещества, монтажа головки и других элементов конструкции. п. 3.16 СП 9.13130.2009[11]
Котельная;— Комплекс зданий и сооружений, здание или помещение с установленными в них теплогенераторами (котлами) и вспомогательным технологическим оборудованием, предназначенными для выработки тепловой энергии в целях теплоснабжения. п. 3.20 СП 4.13130.2013[6]
Коэффицент преобразование давления;— Коэффициент преобразования рабочего раствора пенообразователя в давление пенной струи, численно равный отношению давления пены к рабочему давлению. п. 3.5 ГОСТ Р 53290-2009 [47]
Коэффициент аномальности пластового давления;— Отношение давления в пласте, вскрытом скважиной на некоторой глубине, к условному гидростатическому давлению. п. 3.3 СП 231.1311500.2015 [23]
Коэффициент дымообразования;— Показатель, характеризующий оптическую плотность дыма, образующегося при пламенном горении или термоокислительной деструкции (тлении) определенного количества твердого вещества (материала) в условиях специальных испытаний. п. 3.18 ГОСТ 12.1.044-2018 [79]
Коэффициент ослабления;— Отношение количественной характеристики опасного фактора в окружающей среде к его значению на внутренней стороне пакета материалов. п. 3.12 ГОСТ Р 53264-2009 [85]
Коэффициент производительности;— Относительная величина, характеризующая пропускную способность оросителя по подаче огнетушащих веществ (ОТВ). п. 3.1.28 ГОСТ Р 51043-2002 [34]
Коэффициент растекания по горючему;"— Параметр, характеризующий способность пенообразующего раствора к образованию изолирующей водной пленки на поверхности горючего и скорость ее растекания, является определяющим признаком при классификации типа ""пленкообразующий"" пенообразователь. п. 3.21 ГОСТ Р 53280.2-2010 [54]"
Кратность пены;— Безразмерная величина, равная отношению объема пены к объему раствора, содержащегося в пене. п. 3.17 СП 9.13130.2009[11]
Кратность пены;— Безразмерная величина, равная отношению объемов пены и исходного раствора пенообразователя содержащегося в ней. п. 3.4 ГОСТ Р 53280.1-2010 [53]
Кратность пены;— Безразмерная величина, равная отношению объемов пены и исходного раствора пенообразователя, содержащегося в ней. п. 3.4 ГОСТ Р 53280.2-2010 [54]
Кривая нагревания;— Запись температуры вещества (образца), помещенного в среду, нагреваемую с регулируемой скоростью, в зависимости от времени. п. 3.5 ГОСТ Р 53293-2009 [76]
Криогенный насос;— Насос для повышения давления и нагнетания криогенной жидкости. п. 3.7 СП 326.1311500.2017 [30]
Криогенный резервуар;— Резервуар, предназначенный для накопления, хранения под избыточным давлением, транспортировки и выдачи потребителю криогенной жидкости. п. 3.6 СП 326.1311500.2017 [30]
Криогенный топливозаправочный пунк;— Заправочная станция, предназначенная для заправки СПГ и компримированным природным газом транспортных средств предприятия (организации), в состав которого входит объект потребления и/или объект производства СПГ. п. 3.8 СП 326.1311500.2017 [30]
Критическая поверхностная плотность теплового потока;— Минимальное значение поверхностной плотности теплового потока, при котором возникает устойчивое пламенное горение. п. 3.6 ГОСТ 30402-96 [81]
Критическая поверхностная плотность теплового потока;— величина теплового потока, при которой прекращается распространение пламени. п. 3 ГОСТ Р 51032-97 [82]
Культовое здание;— Здание, сооружение, предназначенное для молитвенного собрания верующих и проведения религиозных обрядов. п. 3.2 СП 258.1311500.2016 [27]
Купол;— Покрытие здания (или его части) круглой, квадратной, многоугольной, полусферической или другой сложной геометрической формы. п. 3.12 СП 258.1311500.2016 [27]
Куст скважины;— Специальная площадка естественного или искусственного участка территории месторождения с расположенными на ней устьями скважин, а также технологическим оборудованием и эксплуатационными сооружениями, инженерными коммуникациями, оборудованием для подземного ремонта скважин, бытовыми и служебными помещениями и т.п. п. 3.4 СП 231.1311500.2015 [23]
Кустовая насосная станция;— Объект, предназначенный для закачки воды в блоки водораспределительной гребенки и нагнетательные скважины. п. 3.5 СП 231.1311500.2015 [23]
Легковоспламеняющаяся жидкость под давлением;— Жидкость, давление насыщенного пара которой при температуре 293,15 К (20°С) более 0,094 МПа (700 мм рт.ст.). п. 2.2 ГОСТ Р 53324-2009 [72]
Легкосбрасываемые конструкции;— Специальная конструкция, устанавливаемая в наружном ограждении здания, вскрывающая на ранней стадии развития взрыва газо-, паро-, и пылевоздушных смесей сбросные проемы в ограждающих конструкциях здания и обеспечивающая безопасный уровень давления внутри здания (помещения). п. 3.20 СП 4.13130.2013[6]
Ликвидация пожара;— Действия, направленные на прекращение горения, а также на исключение возможности его повторного возникновения. п. 2.6 СП 13.13130.2009[15]
Ликвидация пожара;— Действия, направленные на окончательное прекращение горения, а также на исключение возможности его повторного возникновения п. 13 ГОСТ 12.1.033-81 [87]
Линейная скорость распространения пламени;— Расстояние, пройденное фронтом пламени в единицу времени. Это физическая величина, характеризуемая поступательным линейным движением фронта пламени в заданном направлении в единицу времени. п. 3.19 ГОСТ 12.1.044-2018 [79]
Линейный пожарный извещатель (дымовой, тепловой);— Пожарный извещатель, реагирующий на факторы пожара в протяженной, линейной зоне. п. 3.39 СП 5.13130.2009[7]
Линия выдачи;— Комплекс оборудования, с помощью которого обеспечивается подача топлива из резервуара к топливораздаточной колонке. п. 3.18 СП 156.13130.2014[21]
Линия деаэрации;— Комплекс оборудования, с помощью которого обеспечивается сообщение с атмосферой свободного пространства резервуара хранения жидкого моторного топлива. п. 3.19 СП 156.13130.2014[21]
Линия наполнения;— Комплекс оборудования, с помощью которого обеспечивается наполнение резервуара топливом. п. 3.20 СП 156.13130.2014[21]
Линия обесшламливания;— Комплекс оборудования, с помощью которого обеспечивается удаление подтоварной воды с включениями твердых частиц (шлама). п. 3.21 СП 156.13130.2014[21]
Линия рециркуляции;— Комплекс оборудования, с помощью которого обеспечивается циркуляция паров топлива по замкнутому контуру (без выхода их в окружающее пространство) при сливоналивных операциях. п. 3.22 СП 156.13130.2014[21]
Линия связи;— Провода, кабели, оптическое волокно, радиоканал или другие цепи передачи сигналов, обеспечивающие взаимодействие и обмен информацией между компонентами системы пожарной автоматики. п. 3.30 ГОСТ Р 53325-2012 [50]
Лифт для транспортирования пожарных подразделений;— Лифт, оснащенный системами управления, защиты и связи, обеспечивающими перемещение пожарных подразделений на этажи зданий (сооружений) при пожаре. п. 3.1 ГОСТ Р 53296-2009 [63]
Лифтовый холл;— Помещение перед входами в лифты. п. 3.21 СП 4.13130.2013[6]
Лицевой элемент;— Отделочная панель определенных размеров, имеющая различное функциональное назначение и крепящаяся с нижней стороны каркаса подвесного потолка. п. 3.3 ГОСТ Р 53298-2009 [64]
Личный состав пожарной охраны;"— Сотрудники и (или) работники, выполняющие задачи пожарной охраны; п. 3.2 СП 232.1311500.2015 [24]"
Логическое дерево событий;— Графическое отражение общего характера развития возможных аварийных ситуаций и аварий с отражением причинно-следственной взаимосвязи событий в зависимости от специфики опасности объекта оценки риска с учетом влияния на них имеющихся защитных мероприятий. п. 3.8 СП 12.13130.2009[14]
Лоджия;— Встроенное или пристроенное, остекленное или открытое во внешнее пространство, огражденное с трех сторон стенами (с двух - при угловом расположении) помещение с глубиной, ограниченной требованиями естественной освещенности помещения, к наружной стене которого она примыкает. п. 3.22 СП 4.13130.2013[6]
Локализация пожара;— Процесс воздействия сил и средств, а также методы и приемы, направленные на предотвращение возможности дальнейшего распространения горения и создание условий для успешной ликвидации пожара. п. 3.27 ГОСТ Р 53284-2009 [42]
Локализация пожара;— Действия, направленные на предотвращение возможности дальнейшего распространения горения и создание условий для его п. 12 ГОСТ 12.1.033-81 [87]
Магистральный трубопровод;— Трубопровод, соединяющий распределительные устройства установок газового пожаротушения с распределительными трубопроводами. п. 3.40 СП 5.13130.2009[7]
Максимальная нормальная температура;— Температура контролируемой ИПТ среды на 4°C ниже минимальной температуры, при которой формируется извещение о пожаре. п. 3.32 ГОСТ Р 53325-2012 [50]
Максимальная температура срабатывания;— Верхнее значение температуры контролируемой ИПТ среды, при котором формируется извещение о пожаре. п. 3.33 ГОСТ Р 53325-2012 [50]
Максимально допустимое расстояние;— Наибольшее расстояние по уличной сети дорог населенного пункта или производственного объекта от пожарного депо до объекта предполагаемого пожара, при котором гарантируется достижение соответствующей цели выезда оперативного подразделения пожарной охраны на пожар. п. 2.7 СП 11.13130.2009[13]
Максимально-дифференциальный тепловой пожарный извещатель;— Пожарный извещатель, совмещающий функции максимального и дифференциального тепловых пожарных извещателей. п. 3.41 СП 5.13130.2009[7]
Максимальное давление взрыва;— Наибольшее избыточное давление, возникающее при дефлаграционном сгорании газо-, паро- или пылевоздушной смеси в замкнутом сосуде при начальном давлении смеси 101,3 кПа. п. 3.20 ГОСТ 12.1.044-2018 [79]
Максимальное значение порога срабатывания;— Максимальное численное значение контролируемого фактора пожара - концентрации продуктов горения, при котором происходит срабатывание ИПДИ. п. 3.31 ГОСТ Р 53325-2012 [50]
Максимальное значение чувствительности;— Максимальное значение удельной оптической плотности контролируемой ИПДОТ среды, при котором формируется извещение о пожаре. п. 3.34 ГОСТ Р 53325-2012 [50]
Максимальное рабочее давление;— Наибольшее допустимое значение давления вытесняющего газа, которое устанавливается (перед началом выхода огнетушащего вещества) в заряженном огнетушителе, выдержанном не менее 24 ч при максимальной температуре его эксплуатации, и указываемое в технической документации как верхнее предельное значение рабочего давления. п. 3.35 СП 9.13130.2009[11]
Максимальный тепловой пожарный извещатель;— Пожарный извещатель, формирующий извещение о пожаре при превышении температурой окружающей среды установленного порогового значения - температуры срабатывания извещателя. п. 3.42 СП 5.13130.2009[7]
Малоинерционная МУПТВ;— Установка с инерционностью не более 3 с. п. 3.4 ГОСТ Р 53288-2009 [45]
Масса МПП конструкционная;— Масса полностью укомплектованного МПП без учета массы заряда огнетушащего вещества. п. 3.13 ГОСТ Р 53286-2009 [43]
Масса МПП полная;— Масса полностью укомплектованного МПП с учетом массы заряда огнетушащего вещества. п. 3.14 ГОСТ Р 53286-2009 [43]
Массовая скорость выгорания жидкости;— Масса жидкости или твердого горючего вещества, сгорающей в единицу времени. п. 3.21 ГОСТ 12.1.044-2018 [79]
Материал верха;— Наружный слой пакета материалов и тканей СЗО и СЗР, который обеспечивает защиту от тепловых и физико-механических воздействий, воды и агрессивных сред. п. 3.8 ГОСТ Р 53264-2009 [85]
Мембранно-предохранительное устройство;— Устройство, состоящее из разрывной предохранительной мембраны и узла ее крепления (зажимных элементов), обеспечивающее необходимый сброс массы парогазовой смеси при определенном давлении срабатывания. п. 3.7 ГОСТ Р 53281-2009 [39]
Места массового пребывания людей;— Территория, на которой предусматривается возможность одновременного пребывания более 100 человек (остановки транспорта, выходы со станций метро, рынки, ярмарки, стадионы). п. 3.23 СП 156.13130.2014[21]
Местное включение (пуск) установки;— Включение (пуск) установки от пусковых элементов, устанавливаемых в помещении насосной станции или станции пожаротушения, а также от пусковых элементов, устанавливаемых на модулях пожаротушения. п. 3.43 СП 5.13130.2009[7]
Местное включение (пуск) установки;— Включение (пуск) установки от пусковых элементов, устанавливаемых в помещении насосной станции или станции пожаротушения, а также от пусковых элементов, устанавливаемых на модулях пожаротушения. п. 3.8 ГОСТ Р 50969-96 [33]
Местный отсос;— Устройство для улавливания вредных и взрывоопасных газов, пыли, аэрозолей и паров (зонт, бортовой отсос, вытяжной шкаф, кожух-воздухоприемник и т.п.) у мест их образования (станок, аппарат, ванна, рабочий стол, камера, шкаф и т.п.), присоединяемое к воздуховодам систем местных отсосов и являющееся, как правило, составной частью технологического оборудования. п. 3.20 СП 60.13330.2012[16]
Местный пульт управления;— Пульт управления, располагаемый в непосредственной близости от управляемого технического средства АУП. п. 3.38 СП 5.13130.2009[7]
Местный пульт управления;— Пульт управления, располагаемый в непосредственной близости от РП. п. 3.11 ГОСТ Р 53326-2009 [48]
Местный пуск установки;— ручной пуск установки путем подачи командного импульса на первичный управляющий пуском установки элемент непосредственно с места расположения первичного элемента. гл. 3 ГОСТ Р 50680-94 [32]
Место дислокации подразделений пожарной охраны;— Место на территории населенного пункта или производственного объекта, на котором следует расположить (расположено) пожарное депо. п. 2.3 СП 11.13130.2009[13]
Механизированная автостоянка;— Автостоянка, в которой транспортировка автомобилей в места (ячейки) хранения осуществляется специальными механизированными устройствами (без участия водителей). п. 3.23 СП 4.13130.2013[6]
Механизированная автостоянка ;— Автостоянка, в которой транспортировка автомобилей в места (ячейки) хранения осуществляется специальными механизированными устройствами без участия водителей. п. 3.4 СП 154.13130.2013[19]
Механическая безопасность;— Состояние строительных конструкций и основания здания или сооружения, при котором отсутствует недопустимый риск, связанный с причинением вреда жизни или здоровью граждан, имуществу физических или юридических лиц, государственному или муниципальному имуществу, окружающей среде, жизни и здоровью животных и растений вследствие разрушения или потери устойчивости здания, сооружения или их части. ст. 2 п. 8 ГОСТ Р 12.2.143-2009 [2]
Микроклимат помещения;— Климатические условия внутренней среды помещения, которые определяются действующими на организм человека сочетаниями температуры, влажности и скорости движения воздуха. ст. 2 п. 9 ГОСТ Р 12.2.143-2009 [2]
Минарет;— Круглая, квадратная или многогранная в плане башня, предназначенная для извещения о начале религиозного обряда. п. 3.15 СП 258.1311500.2016 [27]
Минерализованная полоса;— Искусственно созданная полоса на поверхности земли, очищенная от горючих материалов или обработанная почвообрабатывающими орудиями либо иным способом до сплошного минерального слоя почвы. п. 3.1.1 СП 153.13130.2013[18]
Минимальная огнетушащая концентрация;— Наименьшая объемная концентрация огнетушащего вещества в воздухе, которая обеспечивает тушение диффузионного пламени вещества объемным способом в условиях опыта. п. 3.3 ГОСТ Р 53280.3-2009 [55]
Минимальная огнетушащая концентрация средств объемного тушения;— Наименьшая концентрация средств объемного тушения в воздухе, которая обеспечивает мгновенное тушение диффузионного пламени вещества в условиях опыта п. 16 ГОСТ 12.1.033-81 [87]
Минимальная площадь орошения;— Нормативная (для спринклерной АУП) или расчетная (для дренчерной АУП) площадь, в пределах которой обеспечиваются нормативная интенсивность орошения и соответственно нормативный или расчетный расход огнетушащего вещества. п. 3.32 СП 5.13130.2009[7]
Минимальная площадь, орошаемая АУП;— Минимальное значение нормативной или проектной части общей защищаемой площади, подвергаемой одновременному орошению огнетушащей жидкостью при срабатывании всех оросителей, расположенных на этой части общей защищаемой площади. п. 3.124 СП 5.13130.2009[7]
Минимальная температура срабатывания;— Нижнее значение температуры контролируемой ИПТ среды, при котором формируется извещение о пожаре. п. 3.37 ГОСТ Р 53325-2012 [50]
Минимальная флегматизирующая концентрация флегматизатора;— Наименьшая концентрация флегматизатора в смеси с горючим и окислителем, при которой смесь становится неспособной к распространению пламени при любом соотношении горючего и окислителя. п. 3.22 ГОСТ 12.1.044-2018 [79]
Минимальная энергия зажигания;— Наименьшая энергия электрического разряда, способная воспламенить наиболее легко воспламеняющуюся смесь горючего вещества с воздухом. п. 3.23 ГОСТ 12.1.044-2018 [79]
Минимальное взрывоопасное содержание кислорода;— Такая концентрация кислорода в горючей смеси, состоящей из горючего вещества, воздуха и флегматизатора, меньше которой распространение пламени в смеси становится невозможным при любой концентрации горючего в смеси, разбавленной данным флегматизатором. п. 3.24 ГОСТ 12.1.044-2018 [79]
Минимальное значение порога срабатывания;— Минимальное численное значение контролируемого фактора пожара - концентрации продуктов горения в контролируемой ИПДИ среде, при котором формируется извещение о пожаре. п. 3.35 ГОСТ Р 53325-2012 [50]
